"movieTitle","ReviewVolume","PositiveReviews","NegativeReviews","TotalReviews","ReviewValence","Rank","Opening","DomesticGross","% of Total","Theaters","Average","Date","Distributor","WeeksInTheater","movieYear","maingenre","sidegenre","budget","movieId","BoxOfficeLegs","ReleaseDate","release_season","avgBuzz","log_BoxOfficeLegs","log_ReviewVolume"
"The Hangover Part III",2501,1317,1184,2501,0.526589364254298,314,41671198,112200072,37.1,3.555,11721,"May 23, 2013","Warner Bros.",4.4,2013,"Comedy","Contemporary Fiction",1.03e+08,"b55dc0e0-fa4c-3b4d-9dd1-211b0d1e49e8",2.69250891227077,2013-05-23,"Spring",26.3611111111111,1.30630614903478,7.82484569102686
"The Hobbit: An Unexpected Journey",8212,7033,1179,8212,0.856429615197272,101,84617303,303003568,27.9,4045,20918,"Dec 14, 2012","Warner Bros.",6.8,2012,"Adventure","Fantasy",2e+08,"7bf656a0-f271-30ce-b3a3-37688a69444f",3.58087007334658,2012-12-14,"Winter",32.75,1.52188895243005,9.01347354374019
"The Hobbit: The Battle of the Five Armies",2660,2012,648,2660,0.756390977443609,218,54724334,255119788,21.4,3.875,14122,"Dec 17, 2014","Warner Bros.",5.6,2014,"Adventure","Fantasy",2.5e+08,"92b1cdbc-d7f1-3217-970d-1fcb5c6cd248",4.66190758940986,2014-12-17,"Winter",47.0555555555556,1.73376086536433,7.88645727097769
"The Hobbit: The Desolation of Smaug",4485,3774,711,4485,0.841471571906354,126,73645197,258366855,28.5,3903,18868,"Dec 13, 2013","Warner Bros.",6.4,2013,"Adventure","Fantasy",2.5e+08,"92ced6d7-3257-3295-882e-dd6fd52457c4",3.50826483633413,2013-12-13,"Winter",32.7222222222222,1.5059123425296,8.40871671508015
"The Hunger Games",14517,12452,2065,14517,0.857752979265688,26,152535747,408010692,37.4,4137,36871,"Mar 23, 2012","Lionsgate",9.1,2012,"Action","Science Fiction",8e+07,"0bd9abe5-cfc5-3097-b95c-f53e046310c2",2.67485294447078,2012-03-23,"Spring",31.8333333333333,1.30151311675418,9.58314453784479
"The Hunger Games: Catching Fire",5055,4679,376,5055,0.925618199802176,23,158074286,424668047,37.2,4163,37971,"Nov 22, 2013","Lionsgate",7.3,2013,"Adventure","Science Fiction",1.3e+08,"d3a4cc97-51da-38d6-b51d-b84c4c425b99",2.68650934788976,2013-11-22,"Autumn",25.5555555555556,1.30468003415296,8.52833093582669
"The Hunger Games: Mockingjay, Part 1",2707,1932,775,2707,0.713705208718138,50,121897634,337135885,36.2,4151,29365,"Nov 21, 2014","Lionsgate",7.3,2014,"Action","Science Fiction",1.25e+08,"45cd362d-6a2d-3534-8b89-6cd0a86ab925",2.76572952187079,2014-11-21,"Autumn",27.3888888888889,1.32594160659112,7.90396563403217
"The Hunger Games: Mockingjay, Part 2",1696,1133,563,1696,0.668042452830189,71,102665981,281723902,36.4,4175,24590,"Nov 20, 2015","Lionsgate",6.1,2015,"Action","Science Fiction",1.6e+08,"9490ee80-dd55-3bb1-8e05-4b30c6b3606f",2.74408230706917,2015-11-20,"Autumn",24.6944444444444,1.32017654209945,7.43661726523423
"The Hunger Games: The Ballad of Songbirds & Snakes",3121,2521,600,3121,0.807753925024031,293,44607143,166350594,26.8,3.776,11813,"Nov 17, 2023","Lionsgate",6.9,2023,"Action","Science Fiction",1e+08,"79e469fc-8455-3efb-947a-9c00eb69ab0b",3.72923668301285,2023-11-17,"Autumn",34.1111111111111,1.55376381168249,8.04622910107538
"The Incredible Hulk",20365,18493,1872,20365,0.908077584090351,209,55414050,134806913,41.1,3.505,15810,"Jun 13, 2008","Universal Pictures",5,2008,"Adventure","Super Hero",137500000,"8061ee78-2e4d-3285-922d-c6a107a0c32a",2.43272081719347,2008-06-13,"Summer",24.2777777777778,1.23335318789263,9.92162212273161
