"movieId","movieYear","movieURL","movieTitle","critic_score","critic_sentiment","audience_score","audience_sentiment","release_date_theaters","release_date_streaming","rating","original_language","runtime"
"4cec4be1-fc1e-38a7-b86c-10babb20d379",2000,"https://www.rottentomatoes.com/m/billy_elliot","Billy Elliot",85.0,"positive",89.0,"positive","Oct 13, 2000, Wide","May 18, 2016","R (Language)","English (United Kingdom)","1h 50m"
"4e6b60fc-75b0-346c-a2e5-9ea1db254fb1",2000,"https://www.rottentomatoes.com/m/i_dreamed_of_africa","I Dreamed of Africa",10.0,"negative",56.0,"negative","May 5, 2000, Wide","Apr 16, 2012","PG-13 (Sensuality|Nudity|Traumatic Episodes|Violence)","English","1h 54m"
"4f612daf-f01f-3343-b2e2-c0f28a87c0d7",2000,"https://www.rottentomatoes.com/m/batman_beyond_return_of_the_joker","Batman Beyond: Return of the Joker",100.0,"positive",86.0,"positive","Dec 12, 2000, Limited","May 1, 2008","","English","1h 10m"
"552bcc2e-fd65-3c99-abc7-5cc6837830b7",2000,"https://www.rottentomatoes.com/m/love_and_basketball","Love & Basketball",85.0,"positive",95.0,"positive","Apr 21, 2000, Wide","Dec 1, 2008","PG-13 (Sexuality|Language)","English","2h 4m"
"597ffe1e-01f5-30f3-8971-bf08ecc9f1f6",2000,"https://www.rottentomatoes.com/m/shanghai_noon","Shanghai Noon",80.0,"positive",65.0,"positive","May 26, 2000, Wide","Dec 10, 2015","PG-13 (Sensuality|Drug Content|Violence)","English","1h 50m"
"5a5b23be-6412-3e7f-8c76-538ff53b3b0e",2000,"https://www.rottentomatoes.com/m/u571","U-571",68.0,"positive",62.0,"positive","Apr 21, 2000, Wide","Feb 14, 2016","PG-13 (War Violence)","English","1h 56m"
"5e9340f3-e3b5-394e-b983-909dfb90b766",2000,"https://www.rottentomatoes.com/m/skulls","The Skulls",9.0,"negative",43.0,"negative","Mar 31, 2000, Wide","Sep 10, 2015","PG-13 (Violence|Brief Sexuality)","English","1h 46m"
"5ec905ce-5f34-3846-89de-e599b6bae864",2000,"https://www.rottentomatoes.com/m/1095420-high_fidelity","High Fidelity",91.0,"positive",90.0,"positive","Mar 31, 2000, Wide","Sep 23, 2016","R (Some Sexuality|Language)","English","1h 53m"
"609e3c85-d1b1-3f0a-ad33-3c841ca68408",2000,"https://www.rottentomatoes.com/m/girlfight","Girlfight",87.0,"positive",75.0,"positive","Sep 29, 2000, Wide","May 13, 2016","R (Language)","English","1h 53m"
"61a7f7a6-df3e-375a-84c3-9d9fbfb4fc33",2000,"https://www.rottentomatoes.com/m/wonder_boys","Wonder Boys",81.0,"positive",83.0,"positive","Nov 10, 2000","Nov 30, 2016","R (Language|Drug Content)","English","1h 52m"
